"","DateTime","Day","Month","Year","Time","Hour","Minute","Lat","Lon","Type","Outcome"
"98","01/01/2015, 00:15","01","01","2015","00:15","00","15",44.8015376164,20.4955721098,"None","Damage"
"56","01/01/2015, 01:10","01","01","2015","01:10","01","10",44.8432087171,20.4882025349,"None","Injury"
"123","01/01/2015, 02:00","01","01","2015","02:00","02","00",44.792623215,20.5089830812,"None","Damage"
"2509","01/01/2015, 02:00","01","01","2015","02:00","02","00",44.854723481,20.4732727308,"None","Damage"
"61","01/01/2015, 02:30","01","01","2015","02:30","02","30",44.7478857766,20.453149117,"None","Damage"
"118","01/01/2015, 02:30","01","01","2015","02:30","02","30",44.8011194956,20.4515111771,"None","Damage"
"108","01/01/2015, 03:10","01","01","2015","03:10","03","10",44.8138870295,20.4270019484,"None","Damage"
"85","01/01/2015, 03:50","01","01","2015","03:50","03","50",44.8037068029,20.5186989747,"None","Damage"
"97","01/01/2015, 05:15","01","01","2015","05:15","05","15",44.8013947803,20.4507375106,"None","Damage"
"3267","01/01/2015, 07:35","01","01","2015","07:35","07","35",44.7621139037,20.4841911285,"None","Injury"
"59","01/01/2015, 08:20","01","01","2015","08:20","08","20",44.801889188,20.4506190758,"None","Injury"
"60","01/01/2015, 09:00","01","01","2015","09:00","09","00",44.84779504,20.4715644842,"None","Damage"
"34","01/01/2015, 11:05","01","01","2015","11:05","11","05",44.8026212442,20.4822519906,"None","Damage"
"2277","01/01/2015, 11:08","01","01","2015","11:08","11","08",44.8330818344,20.353976126,"None","Injury"
"3150","01/01/2015, 11:10","01","01","2015","11:10","11","10",44.8330818344,20.353976126,"None","Damage"
"109","01/01/2015, 11:30","01","01","2015","11:30","11","30",44.7633542394,20.4661287368,"None","Injury"
"99","01/01/2015, 12:30","01","01","2015","12:30","12","30",44.8146024854,20.4970645099,"None","Damage"
"37","01/01/2015, 13:00","01","01","2015","13:00","13","00",44.8000902442,20.4004923559,"None","Damage"
"32","01/01/2015, 13:15","01","01","2015","13:15","13","15",44.806269412,20.3845381867,"None","Damage"
"112","01/01/2015, 13:40","01","01","2015","13:40","13","40",44.8477585193,20.4714509609,"None","Damage"
"113","01/01/2015, 14:00","01","01","2015","14:00","14","00",44.8345568777,20.4176663895,"None","Damage"
"39","01/01/2015, 14:55","01","01","2015","14:55","14","55",44.8806389836,20.4825308447,"None","Damage"
"43","01/01/2015, 15:15","01","01","2015","15:15","15","15",44.8062082414,20.4088358854,"None","Damage"
"62","01/01/2015, 17:00","01","01","2015","17:00","17","00",44.7579262866,20.4124840463,"None","Damage"
"26","01/01/2015, 17:15","01","01","2015","17:15","17","15",44.8064039365,20.4333459359,"None","Damage"
"115","01/01/2015, 17:30","01","01","2015","17:30","17","30",44.8142395954,20.5194968656,"None","Damage"
"116","01/01/2015, 18:40","01","01","2015","18:40","18","40",44.8772552398,20.4591200855,"None","Damage"
"119","01/01/2015, 21:15","01","01","2015","21:15","21","15",44.8346660216,20.4178929549,"None","Damage"
"269","02/01/2015, 01:00","01","02","2015","01:00","01","00",44.8713707421,20.3236692554,"None","Damage"
"5973","02/01/2015, 02:20","01","02","2015","02:20","02","20",44.813970178,20.4292389825,"None","Damage"
"6164","02/01/2015, 04:00","01","02","2015","04:00","04","00",44.8939963168,20.2418697755,"None","Damage"
"648","02/01/2015, 05:00","01","02","2015","05:00","05","00",44.798493486,20.4500191576,"None","Death"
"748","02/01/2015, 08:00","01","02","2015","08:00","08","00",44.7959788284,20.4962396231,"None","Damage"
"679","02/01/2015, 08:30","01","02","2015","08:30","08","30",44.7951913803,20.4654069352,"None","Damage"
"5674","02/01/2015, 10:00","01","02","2015","10:00","10","00",44.833560167,20.4075583637,"None","Damage"
"3956","02/01/2015, 10:50","01","02","2015","10:50","10","50",44.8435714398,20.4083037349,"None","Damage"
"4084","02/01/2015, 11:30","01","02","2015","11:30","11","30",44.8038858505,20.3666005115,"None","Injury"
"5759","02/01/2015, 11:40","01","02","2015","11:40","11","40",44.8221966956,20.4845813919,"None","Damage"
"702","02/01/2015, 12:20","01","02","2015","12:20","12","20",44.8024959542,20.4589941516,"None","Damage"
"4161","02/01/2015, 13:05","01","02","2015","13:05","13","05",44.7865508384,20.4808784917,"None","Damage"
"4263","02/01/2015, 14:00","01","02","2015","14:00","14","00",44.8041044618,20.4127507342,"None","Injury"
"6130","02/01/2015, 14:15","01","02","2015","14:15","14","15",44.7951913803,20.4654069352,"None","Damage"
"2480","02/01/2015, 16:00","01","02","2015","16:00","16","00",44.8484513638,20.4872960875,"None","Injury"
"2413","02/01/2015, 16:25","01","02","2015","16:25","16","25",44.7640061583,20.5628233188,"None","Damage"
"297","02/01/2015, 18:00","01","02","2015","18:00","18","00",44.8064229358,20.4051044321,"None","Injury"
"803","02/01/2015, 18:30","01","02","2015","18:30","18","30",44.7402340821,20.4233324265,"None","Damage"
"3943","02/01/2015, 18:30","01","02","2015","18:30","18","30",44.7946889573,20.4657401667,"None","Damage"
"5486","02/01/2015, 18:45","01","02","2015","18:45","18","45",44.8113045644,20.3655335128,"None","Damage"
"2357","02/01/2015, 18:50","01","02","2015","18:50","18","50",44.783361191,20.5149877392,"None","Injury"
"882","02/01/2015, 19:30","01","02","2015","19:30","19","30",44.792658455,20.5088058437,"None","Injury"
"5463","02/01/2015, 21:30","01","02","2015","21:30","21","30",44.7852772052,20.4758856078,"None","Damage"
"2358","02/01/2015, 21:45","01","02","2015","21:45","21","45",44.7833253007,20.5150133112,"None","Injury"
"3875","02/01/2015, 22:25","01","02","2015","22:25","22","25",44.8043117099,20.4040768244,"None","Injury"
"472","02/01/2015, 22:45","01","02","2015","22:45","22","45",44.7830622642,20.4125082633,"None","Damage"
"1565","03/01/2015, 00:10","01","03","2015","00:10","00","10",44.8072614099,20.4338558911,"None","Injury"
"3291","03/01/2015, 00:10","01","03","2015","00:10","00","10",44.7775678555,20.4805668982,"None","Damage"
"1877","03/01/2015, 00:30","01","03","2015","00:30","00","30",44.8762053276,20.4635977479,"None","Damage"
"1399","03/01/2015, 01:20","01","03","2015","01:20","01","20",44.6961433586,20.5018332064,"None","Injury"
"3271","03/01/2015, 02:00","01","03","2015","02:00","02","00",44.8138030596,20.4503042041,"None","Injury"
